country_code,population
ABW,106766
AFE,677243299
AFG,38928341
AFW,458803476
AGO,32866268
ALB,2837743
AND,77265
ARB,436080728
ARE,9890400
ARG,45376763
ARM,2963234
ASM,55197
ATG,97928
AUS,25687041
AUT,8917205
AZE,10093121
BDI,11890781
BEL,11555997
BEN,12123198
BFA,20903278
BGD,164689383
BGR,6934015
BHR,1701583
BHS,393248
BIH,3280815
BLR,9379952
BLZ,397621
BMU,63903
BOL,11673029
BRA,212559409
BRB,287371
BRN,437483
BTN,771612
BWA,2351625
CAF,4829764
CAN,38005238
CEB,102253057
CHE,8636896
CHI,173859
CHL,19116209
CHN,1410929362
CIV,26378275
CMR,26545864
COD,89561404
COG,5518092
COL,50882884
COM,869595
CPV,555988
CRI,5094114
CSS,7442291
CUB,11326616
CUW,155014
CYM,65720
CYP,1207361
CZE,10698896
DEU,83240525
DJI,988002
DMA,71991
DNK,5831404
DOM,10847904
DZA,43851043
EAP,2113820753
EAR,3332105361
EAS,2360855079
ECA,420211696
ECS,923452178
ECU,17643060
EGY,102334403
EMU,342949773
ERI,0
ESP,47351567
EST,1331057
ETH,114963583
EUU,447801418
FCS,929989551
FIN,5530719
FJI,896444
FRA,67391582
FRO,48865
FSM,115021
GAB,2225728
GBR,67215293
GEO,3714000
GHA,31072945
GIB,33691
GIN,13132792
GMB,2416664
GNB,1967998
GNQ,1402985
GRC,10715549
GRD,112519
GRL,56367
GTM,16858333
GUM,168783
GUY,786559
HIC,1214930230
HKG,7481800
HND,9904608
HPC,823480038
HRV,4047200
HTI,11402533
HUN,9749763
IBD,4862388283
IBT,6570991956
IDA,1708603673
IDB,574159138
IDN,273523621
IDX,1134444535
IMN,85032
IND,1380004385
INX,0
IRL,4994724
IRN,83992953
IRQ,40222503
ISL,366425
ISR,9216900
ITA,59554023
JAM,2961161
JOR,10203140
JPN,125836021
KAZ,18754440
KEN,53771300
KGZ,6591600
KHM,16718971
KIR,119446
KNA,53192
KOR,51780579
KWT,4270563
LAC,595242966
LAO,7275556
LBN,6825442
LBR,5057677
LBY,6871287
LCA,183629
LCN,652276325
LDC,1057438163
LIC,665149035
LIE,38137
LKA,21919000
LMC,3330652547
LMY,6518253973
LSO,2142252
LTE,2316679176
LTU,2794700
LUX,632275
LVA,1901548
MAC,649342
MAF,38659
MAR,36910558
MCO,39244
MDA,2620495
MDG,27691019
MDV,540542
MEA,464554123
MEX,128932753
MHL,59194
MIC,5853104938
MKD,2072531
MLI,20250834
MLT,525285
MMR,54409794
MNA,396147843
MNE,621306
MNG,3278292
MNP,57557
MOZ,31255435
MRT,4649660
MUS,1265740
MWI,19129955
MYS,32365998
NAC,367553264
NAM,2540916
NCL,271960
NER,24206636
NGA,206139587
NIC,6624554
NLD,17441139
NOR,5379475
NPL,29136808
NRU,10834
NZL,5084300
OED,1370858752
OMN,5106622
OSS,31941374
PAK,220892331
PAN,4314768
PER,32971846
PHL,109581085
PLW,18092
PNG,8947027
POL,37950802
PRE,970795671
PRI,3194034
PRK,25778815
PRT,10305564
PRY,7132530
PSE,4803269
PSS,2528958
PST,1115104266
PYF,280904
QAT,2881060
ROU,19286123
RUS,144104080
RWA,12952209
SAS,1856882402
SAU,34813867
SDN,43849269
SEN,16743930
SGP,5685807
SLB,686878
SLE,7976985
SLV,6486201
SMR,33938
SOM,15893219
SRB,6908224
SSA,1135948313
SSD,11193729
SSF,1136046775
SST,41912623
STP,219161
SUR,586634
SVK,5458827
SVN,2100126
SWE,10353442
SWZ,1160164
SXM,40812
SYC,98462
SYR,17500657
TCA,38718
TCD,16425859
TEA,2088015667
TEC,462209698
TGO,8278737
THA,69799978
TJK,9537642
TKM,6031187
TLA,636492840
TLS,1318442
TMN,391344574
TON,105697
TSA,1856882402
TSS,1136046775
TTO,1399491
TUN,11818618
TUR,84339067
TUV,11792
TZA,59734213
UGA,45741000
UKR,44134693
UMC,2522452391
URY,3473727
USA,329484123
UZB,34232050
VCT,110947
VEN,28435943
VGB,30237
VIR,106290
VNM,97338583
VUT,307150
WLD,7761620146
WSM,198410
XKX,1775378
YEM,29825968
ZAF,59308690
ZMB,18383956
ZWE,14862927
