year_week_iso,reporting_country,num_doses_recv,num_doses_exported,first_dose,first_dose_refused,second_dose,unknown_dose,target_group,vaccine
03/01/2022,FM,379,5453,6674,48,260,6,ALL,AZ
03/01/2022,FM,5133,2000,5853,56,632,25,ALL,BECNBG
03/01/2022,FM,5313,2595,9743,72,157,65,ALL,BHACOV
03/01/2022,FM,5030,3900,4468,37,655,10,ALL,CHU
03/01/2022,FM,5502,107,8227,69,369,37,ALL,COM
03/01/2022,FM,116,2420,5285,97,956,14,ALL,CVAC
03/01/2022,FM,8443,1421,3745,81,145,43,ALL,JANSS
03/01/2022,FM,3594,5450,4631,96,654,29,ALL,HAYATVAC
03/01/2022,FM,2520,9229,9728,2,918,29,ALL,MOD
03/01/2022,FM,4397,943,3158,93,852,72,ALL,NVX
03/01/2022,FM,2514,9492,3161,67,700,59,ALL,NVXD
03/01/2022,FM,9595,7643,9050,82,638,91,ALL,QAZVAQ
03/01/2022,FM,1876,2558,2475,65,707,36,ALL,SGSK
03/01/2022,FM,106,9856,6685,90,828,5,ALL,SIICOV
03/01/2022,FM,6672,4653,1444,81,39,57,ALL,SIN
03/01/2022,FM,8909,6492,2377,81,858,61,ALL,SPU
03/01/2022,FM,4114,9868,5870,89,226,45,ALL,SPUL
03/01/2022,FM,3986,2028,4213,49,244,65,ALL,SRCVB
03/01/2022,FM,4421,5617,4568,52,989,41,ALL,WUCNBG
03/01/2022,FM,335,7281,5786,90,977,85,ALL,CNBG
03/01/2022,FM,1127,7965,1688,5,171,55,ALL,UNK
03/01/2022,FM,2838,1087,9808,76,178,28,ALL,ZFUZ
03/01/2022,FM,7018,3236,5691,84,305,33,Age<18,AZ
03/01/2022,FM,3770,7130,8436,90,348,29,Age<18,BECNBG
03/01/2022,FM,7370,5488,7704,2,870,14,Age<18,BHACOV
03/01/2022,FM,3613,3238,9793,15,480,47,Age<18,CHU
03/01/2022,FM,6751,7570,2756,3,550,27,Age<18,COM
03/01/2022,FM,2397,30,8245,3,678,11,Age<18,CVAC
03/01/2022,FM,6874,5623,8434,83,621,95,Age<18,JANSS
03/01/2022,FM,2290,1530,7562,68,18,92,Age<18,HAYATVAC
03/01/2022,FM,2384,9080,2356,76,478,3,Age<18,MOD
03/01/2022,FM,7201,6547,2892,49,705,8,Age<18,NVX
03/01/2022,FM,4020,8636,7011,44,498,60,Age<18,NVXD
